,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-13 23:12:39,2020-05-13 23:12:39-04:00,croatiaheritage,When the political party Worker’s Front of #Croatia defends executing ppl en masse without trials or evidence? Imagine saying this about any other group?  #CommunismKills https://t.co/6OzkUKbXfl,-1,2020-05-14 03:12:39,1452
2020-05-14 00:32:30,2020-05-14 00:32:30-04:00,JonoFroese,"Watchlist for 5/24
$PDD - exhaustion or breathing? Breaks 60 in early AM and long again. Showing enormous strength esp w/ China ADR uncertainty
$BILI - next PDD? New highs... lets see some follow through. Strength
$AMN - grinding lower. Support around 36. 30 after if breaks",-1,2020-05-14 04:32:30,20
2020-05-14 01:16:35,2020-05-14 01:16:35-04:00,kroatofilly,RT @croatiaheritage: When the political party Worker’s Front of #Croatia defends executing ppl en masse without trials or evidence? Imagine…,-1,2020-05-14 05:16:35,520
2020-05-14 01:26:56,2020-05-14 01:26:56-04:00,B_BilI_A,"RT @kazmi_shahkar: If quran is your map✨  
You will never lose your way...♥ https://t.co/zy44zNSE5i",-1,2020-05-14 05:26:56,734
2020-05-14 01:30:50,2020-05-14 01:30:50-04:00,EF_Hunt,"Do you have queries about speech and language support for multilingual populations? The IALP Multilingual-Multicultural Affairs Committee presents evidence-based answers for common questions about aphasia and Alzheimer's disease in multilingual clients
https://t.co/f5yqWnNkOW https://t.co/ltqHrqUbFr",-1,2020-05-14 05:30:50,171
2020-05-14 01:47:22,2020-05-14 01:47:22-04:00,B_BilI_A,"RT @aneeslodhi09: Nawaz Sharif has same qualities like Ertugrul
But only one deference between them, Nawaz Sharif destroyed the nation thro…",-1,2020-05-14 05:47:22,734
2020-05-14 02:22:13,2020-05-14 02:22:13-04:00,jkyomya,@flavie3333 Bi gym bili closed kati for now I am suffering with bread and mandazi yet I was on the right track. Working out from home is such a lie😭😭😭😭,-1,2020-05-14 06:22:13,597
2020-05-14 03:43:29,2020-05-14 03:43:29-04:00,DomPomer_,@glesaimgdmt Hahahaahha bili na! Miss you tooo. And take care as always 🥰,-1,2020-05-14 07:43:29,2946
2020-05-14 04:23:27,2020-05-14 04:23:27-04:00,MMaraM1985,RT @croatiaheritage: When the political party Worker’s Front of #Croatia defends executing ppl en masse without trials or evidence? Imagine…,-1,2020-05-14 08:23:27,512
2020-05-14 04:29:37,2020-05-14 04:29:37-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
do NOT place cloth face coverings on young children under age 2, anyone who has trouble breathing, or is unconscious, incapacitated or otherwise unable to remove the mask without assistance.",-1,2020-05-14 08:29:37,734
2020-05-14 04:47:20,2020-05-14 04:47:20-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
Have serious underlying medical conditions, particularly if not well controlled, such as heart, lung or liver disease; diabetes; moderate to severe asthma; severe obesity; and chronic kidney disease undergoing dialysis.",-1,2020-05-14 08:47:20,734
2020-05-14 04:47:47,2020-05-14 04:47:47-04:00,B_BilI_A,"RT @B_BilI_A: #کام_کو_چلو_کورونا_سے_بچو 
Have serious underlying medical conditions, particularly if not well controlled, such as heart, lu…",-1,2020-05-14 08:47:47,734
2020-05-14 04:48:19,2020-05-14 04:48:19-04:00,B_BilI_A,RT @Malik_Wamz: A number of ailing citizens await medical treatment and consultation from medical specialists which have been at a halt sin…,-1,2020-05-14 08:48:19,734
2020-05-14 04:48:25,2020-05-14 04:48:25-04:00,B_BilI_A,"RT @Malik_Wamz: Many workers face difficulty to commute due to the unavailability of public transportation.
#کام_کو_چلو_کورونا_سے_بچو https…",-1,2020-05-14 08:48:25,734
2020-05-14 04:48:38,2020-05-14 04:48:38-04:00,B_BilI_A,"RT @Malik_Wamz: The economic impact of the lockdown on Pakistan is serious than the western countries.  
#کام_کو_چلو_کورونا_سے_بچو https://…",-1,2020-05-14 08:48:38,734
2020-05-14 04:51:01,2020-05-14 04:51:01-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو

COVID-19 symptoms include fever, coughing and shortness of breath, plus additional ones listed on the CDC website. Keep track of your symptoms, which may appear two to 14 days after exposure, and call to seek medical attention if your symptoms worsen",-1,2020-05-14 08:51:01,734
2020-05-14 04:51:14,2020-05-14 04:51:14-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
Stay home and call your doctor for medical advice and before visiting a medical office. Older adults and people of any age with serious underlying medical conditions should call a health care provider as soon as symptoms start.",-1,2020-05-14 08:51:14,734
2020-05-14 04:52:20,2020-05-14 04:52:20-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
The governments of Punjab, Sindh, Khyber Pakhtunkhwa and Balochistan on Friday announced the partial easing of lockdown",-1,2020-05-14 08:52:20,734
2020-05-14 04:54:20,2020-05-14 04:54:20-04:00,B_BilI_A,"RT @Malik_Wamz: The entire world is easing the lockdown in order to retrieve the economy.
#کام_کو_چلو_کورونا_سے_بچو",-1,2020-05-14 08:54:20,734
2020-05-14 04:59:20,2020-05-14 04:59:20-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
Prime Minister Imran Khan directed the Punjab government to remain in contact with the business community and chambers for ensuring enforcement of SOPs for protection against coronavirus https://t.co/y5LXpOzS2K",-1,2020-05-14 08:59:20,734
2020-05-14 05:01:33,2020-05-14 05:01:33-04:00,B_BilI_A,RT @Malik_Wamz: Many people have lost their jobs in current circumstances and the government has limited resources so cannot provide relief…,-1,2020-05-14 09:01:33,734
2020-05-14 05:01:48,2020-05-14 05:01:48-04:00,B_BilI_A,"RT @Malik_Wamz: Anyone violating the SOPs must be dealt with iron hands.
#کام_کو_چلو_کورونا_سے_بچو https://t.co/DMRHjDbHyC",-1,2020-05-14 09:01:48,734
2020-05-14 05:02:30,2020-05-14 05:02:30-04:00,B_BilI_A,"RT @Malik_Wamz: People should also take responsibility to cope with the challenge of COVID-19.
#کام_کو_چلو_کورونا_سے_بچو https://t.co/m0qSp…",-1,2020-05-14 09:02:30,734
2020-05-14 05:04:09,2020-05-14 05:04:09-04:00,B_BilI_A,"#کام_کو_چلو_کورونا_سے_بچو 
 The prime minister emphasised that government was fully determined to take all necessary steps for impeding the spread of coronavirus along with its prevention.",-1,2020-05-14 09:04:09,734
2020-05-14 05:46:08,2020-05-14 05:46:08-04:00,B_BilI_A,RT @Nimraaah2: We all are inter connected in fight against Corona   #کام_کو_چلو_کورونا_سے_بچو,-1,2020-05-14 09:46:08,734
