,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-14 20:36:12,2020-05-14 20:36:12-04:00,zerofiltertruth,"#OutOfStock $AMZN remains absolute shit-show countless fronts 

Peeps keep dying &amp; co not disclosing facts - Depraved 

$XRT $RTH $WMT $TGT $COST $BJ $BABA $TJX $HD $LOW $JWN ⁦@jimcramer⁩ ⁦@BeckyQuick⁩ ⁦@TheDomino⁩ ⁦@MariaBartiromo⁩ https://t.co/8UMgBQvmCr",-1,2020-05-15 00:36:12,516
2020-05-14 20:43:16,2020-05-14 20:43:16-04:00,newsradio600,The @NWSQuadCities has issued a SEVERE THUNDERSTORM WARNING for portions of the WMT listening area through 815pm. This includes Washington County. Main threats are 70mph winds and quarter sized hail. Stay tuned to your Official Severe Weather Station for the latest weather info! https://t.co/6jA1h53mjG,-1,2020-05-15 00:43:16,133
2020-05-14 20:53:45,2020-05-14 20:53:45-04:00,chibisandino,RT @WaltStreetPro: When @CNBC tells you this is just a small break the market is taking... you sell all your long positions and sit on cash…,-1,2020-05-15 00:53:45,272
2020-05-14 21:12:07,2020-05-14 21:12:07-04:00,tenmikoangie,im singing: caus ew esat in that colal till 5 in he mronrirjng and you felel alxeep with atht cuet klittle snore and thsioe wirds tht you sy tehya meok wmt sjadness mehal but i cnta cgurantnee and of thsis id ss real I DONT CARE ILL JUST FEEL WHILE I CA,-1,2020-05-15 01:12:07,1466
2020-05-14 21:15:10,2020-05-14 21:15:10-04:00,newsradio600,The @NWSQuadCities has issued a SEVERE THUNDERSTORM WARNING for portions of the WMT listening area through 9pm including portions of Washington County.  Main threats include 70mph winds &amp; quarter sized hail. Stay tuned to your Official Severe Weather Station for the latest info! https://t.co/UBfr3ArOXa,-1,2020-05-15 01:15:10,133
2020-05-14 21:47:17,2020-05-14 21:47:17-04:00,EmilySage97,"RT @START_UMD: In this recent pub, @Victor_Asal @_justinconrad and Steve Sin examine the challenges of teaching about the impact of nuclear…",-1,2020-05-15 01:47:17,203
2020-05-14 21:51:35,2020-05-14 21:51:35-04:00,frimpong_caleb,"@Awoshieboy @kingsservices8 @deynobleman Relax shatta fan , you have no say here your man do song WMT all you squad nu say anything , his song freedom nothing better. You ain’t ready for this convo !  Your fav artists has faults (a lot) in his lyrics so behave",-1,2020-05-15 01:51:35,279
2020-05-14 22:41:09,2020-05-14 22:41:09-04:00,bullriders1,@Blurboy1980 Stay away from distressed retailers. Only $TGT or $WMT are safe in this environment. https://t.co/fqgtJjoNnB,-1,2020-05-15 02:41:09,1348
2020-05-15 00:16:10,2020-05-15 00:16:10-04:00,Gambiste1,RT @bullriders1: @Blurboy1980 Stay away from distressed retailers. Only $TGT or $WMT are safe in this environment. https://t.co/fqgtJjoNnB,-1,2020-05-15 04:16:10,5021
2020-05-15 02:40:47,2020-05-15 02:40:47-04:00,futuredrwillis,"RT @START_UMD: In this recent pub, @Victor_Asal @_justinconrad and Steve Sin examine the challenges of teaching about the impact of nuclear…",-1,2020-05-15 06:40:47,2093
