,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-09 12:11:48,2020-05-09 12:11:48-04:00,SethCL,Line at Target stretches all the way back to the electronics boat at back of store. Design flaw thatfavors Wal-Mart. Not that designers would have seen this coming lol! $TGT $WMT https://t.co/93ZJ60h0TB,-1,2020-05-09 16:11:48,5708
2020-05-09 12:41:23,2020-05-09 12:41:23-04:00,Gambiste1,RT @SethCL: Line at Target stretches all the way back to the electronics boat at back of store. Design flaw thatfavors Wal-Mart. Not that d…,-1,2020-05-09 16:41:23,4933
2020-05-09 13:28:32,2020-05-09 13:28:32-04:00,mridul_wmt,Cognizant Expects To Lose Between $50 Million and $70 Million Following Ransomware Attack https://t.co/3oQP6xMFkn,-1,2020-05-09 17:28:32,338
2020-05-09 15:49:00,2020-05-09 15:49:00-04:00,IliketotweettoU,"Whatever! $TSLA Is Overvalued &amp; Everyone Knows It! 

$aapl $amzn $agn $ba $brk $bhc $abbv $mrk $crm $cmg $dis $f $fb $ge $hlf $iep $ko $pep $ms $gs $wfc $jpm $bac $c $tst $wmt $tgt $kr $msft $nflx $mcd $qsr $googl $cat $shak $pfe $tsla $grub $yelp $uber $lyft $wynn $btc https://t.co/ZcUt68yXuq",-1,2020-05-09 19:49:00,102
2020-05-09 17:54:02,2020-05-09 17:54:02-04:00,yaw_ea,"If you give me wrong sigals, wmt.",-1,2020-05-09 21:54:02,3317
2020-05-09 20:06:28,2020-05-09 20:06:28-04:00,dukesealman,"@John97312753 @samdolnick $msft $brka $wmt $dis #GhislaineMaxwell #HillaryClinton
#LolitaExpress #JoeBiden

Judge on #JeffreyEpstein case rips AG #WilliamBarr, saying his failure to fix Bureau of Prisons is ‘an outrage’

https://t.co/VgSE4hqbjK",-1,2020-05-10 00:06:28,179
2020-05-09 20:07:49,2020-05-09 20:07:49-04:00,dukesealman,"@John97312753 @samdolnick $wmt $msft $apo $lb #GhislaineMaxwell #JoeBiden

#WilliamBarr Is the Wrong Person to Lead the #JeffreyEpstein Investigation

https://t.co/MC6IT6un1k",-1,2020-05-10 00:07:49,179
2020-05-09 20:54:51,2020-05-09 20:54:51-04:00,emiIykrasinski,@bIuntinski we gonna have a problem when wmt comes out asf 😭,-1,2020-05-10 00:54:51,353
2020-05-09 21:16:55,2020-05-09 21:16:55-04:00,couhkie,@BridgetSterli19 My wife and I have been locked down for 6-8 weeks. Lost track of time. Had to do a Walmart run for a RX. The idiots were acting like it didn't matter. Speechless! Filed a WMT complaint at corporate. People are stupid as shit.,-1,2020-05-10 01:16:55,135
2020-05-09 23:10:33,2020-05-09 23:10:33-04:00,mridul_wmt,Tesla sues Alameda County to force California factory reopening https://t.co/2absYkY8oQ https://t.co/sUnGPM4jxO,-1,2020-05-10 03:10:33,338
2020-05-09 23:55:27,2020-05-09 23:55:27-04:00,affection_innit,"RT @YawEyiah_01: If you give me wrong sigals, wmt.",-1,2020-05-10 03:55:27,1441
2020-05-10 01:01:54,2020-05-10 01:01:54-04:00,hatethatidothis,i miss hearing the intro to wmt and then the crowd freaks out :(,-1,2020-05-10 05:01:54,140
2020-05-10 01:48:58,2020-05-10 01:48:58-04:00,NattyShocks,You got nerves be weak imo so why I for bother go listen WMT sef,-1,2020-05-10 05:48:58,4094
2020-05-10 03:44:49,2020-05-10 03:44:49-04:00,Tickeron,"$WMT enters a Downtrend as Momentum Indicator dropped below the 0 level on April 28, 2020. View odds for this and other indicators: https://t.co/PVvNUo3Q1j #Walmart #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/LjUUzRJOgH",-1,2020-05-10 07:44:49,3514
2020-05-10 08:23:25,2020-05-10 08:23:25-04:00,SprawlBusters,"28 Y.O. MAN SHOOTS &amp; KILLS 33 Y.O. WOMAN WHO WAS PANHANDLING AT A WALMART GAS STATION IN TEXAS. WMT: the most violent place in America to shop.
https://t.co/CrB2Wr9TNb https://t.co/3bI5LoRED4",-1,2020-05-10 12:23:25,248
2020-05-10 08:26:40,2020-05-10 08:26:40-04:00,directcoops,"[DLBN]28 Y.O. MAN SHOOTS &amp; KILLS 33 Y.O. WOMAN WHO WAS PANHANDLING AT A WALMART GAS STATION IN TEXAS. WMT: the most violent place in America to shop.
https://t.co/h5OTsKBNaz https://t.co/J6ZHgD98af",-1,2020-05-10 12:26:40,509
2020-05-10 09:33:44,2020-05-10 09:33:44-04:00,dukesealman,"@dallasnews $brka $msft $ccl $wmt $dis

anyone give another human his 1st hair cut this EVENT?
911 #COVID #JFK #Benghazi &amp; all the Death-PAC Galas
#Elections2020 #DEM #GOP

WHY some of us aren't hair stylists
Strap on a #1 &amp; just buzz fur away out in TEXAS yards

#COVIDIOTS 
Le Salon is OPEN https://t.co/GHYzlr5C1g",-1,2020-05-10 13:33:44,179
2020-05-10 10:29:16,2020-05-10 10:29:16-04:00,dukesealman,"@LevineJonathan #COVID19 #COVIDIOTS $msft $ccl $dis $wmt $brka

just take the vaccine and shut up https://t.co/AQukURzcek",-1,2020-05-10 14:29:16,179
2020-05-10 11:48:12,2020-05-10 11:48:12-04:00,OptionsMike,"$WMT Really has lost it's momentum latley.  Support @ 121 needs to get back above the 8/21D to get my attention.

https://t.co/9jPJLbXgSI",-1,2020-05-10 15:48:12,24706
2020-05-10 12:41:00,2020-05-10 12:41:00-04:00,Dorothytooo,"@AndyBeshearKY 
Please put some teeth in your upcoming executive order so ppl will take you seriously! Those of us who work at WMT worry about being exposed &amp;no, we don't receive haz pay. Customers don't care. You need to grow a pair &amp; LEAD!",-1,2020-05-10 16:41:00,193
2020-05-10 13:29:01,2020-05-10 13:29:01-04:00,mridul_wmt,Man Sues Teenager's 'Crew of Evil Computer Geniuses' Over Crypto Heist https://t.co/M6Ztbs1sC2,-1,2020-05-10 17:29:01,338
