,Name,Date,Time,GICS Sub Industry
NOC,Northrop Grumman Corporation,2020-07-30,Pre-Market,Aerospace & Defense
KHC,The Kraft Heinz Company,2020-07-30,Pre-Market,Packaged Foods & Meats
NEM,Newmont Corporation,2020-07-30,Pre-Market,Gold
COP,ConocoPhillips,2020-07-30,Pre-Market,Oil & Gas Exploration & Production
ODFL,"Old Dominion Freight Line, Inc.",2020-07-30,Pre-Market,Trucking
AMZN,"Amazon.com, Inc.",2020-07-30,Estimated,Internet & Direct Marketing Retail
XEL,Xcel Energy Inc.,2020-07-30,Pre-Market,Multi-Utilities
MCO,Moody's Corporation,2020-07-30,Pre-Market,Financial Exchanges & Data
AOS,A. O. Smith Corporation,2020-07-30,Pre-Market,Building Products
LKQ,LKQ Corporation,2020-07-30,Pre-Market,Distributors
MMC,"Marsh & McLennan Companies, Inc.",2020-07-30,Pre-Market,Insurance Brokers
GILD,"Gilead Sciences, Inc.",2020-07-30,Post-Market,Biotechnology
HST,"Host Hotels & Resorts, Inc.",2020-07-30,Post-Market,Hotel & Resort REITs
DVA,DaVita Inc.,2020-07-30,Post-Market,Health Care Facilities
VRTX,Vertex Pharmaceuticals Incorporated,2020-07-30,Post-Market,Biotechnology
AJG,Arthur J. Gallagher & Co.,2020-07-30,Post-Market,Insurance Brokers
COG,Cabot Oil & Gas Corporation,2020-07-30,Post-Market,Oil & Gas Exploration & Production
FLS,Flowserve Corporation,2020-07-30,Post-Market,Industrial Machinery
MGM,MGM Resorts International,2020-07-30,Post-Market,Casinos & Gaming
DLR,"Digital Realty Trust, Inc.",2020-07-30,Post-Market,Specialized REITs
FB,"Facebook, Inc.",2020-07-30,Post-Market,Interactive Media & Services
EA,Electronic Arts Inc.,2020-07-30,Post-Market,Interactive Home Entertainment
WM,"Waste Management, Inc.",2020-07-30,Pre-Market,Environmental & Facilities Services
EXPE,"Expedia Group, Inc.",2020-07-30,Post-Market,Internet & Direct Marketing Retail
TFX,Teleflex Incorporated,2020-07-30,Pre-Market,Health Care Equipment
TXT,Textron Inc.,2020-07-30,Estimated,Aerospace & Defense
XLNX,"Xilinx, Inc.",2020-07-30,Estimated,Semiconductors
CMCSA,Comcast Corporation,2020-07-30,Estimated,Cable & Satellite
GPC,Genuine Parts Company,2020-07-30,Estimated,Specialty Stores
VLO,Valero Energy Corporation,2020-07-30,Estimated,Oil & Gas Refining & Marketing
ALXN,"Alexion Pharmaceuticals, Inc.",2020-07-30,Estimated,Biotechnology
